training_seed,task,std_key,candidate_count,sharp_cert_pass_rate,sharp_cert_pass_n,sharp_cert_pass_lower95_wilson,flip_risk_upper95_from_coverage,observed_flip_rate,flip_when_sharp_cert_fail_rate,risk_coverage_aurc
3073,PushT,0.01,32,0.27000001072883606,27,0.20374797157277322,0.7962520284272268,0.5299999713897705,0.7260273694992065,0.2326777777777778
3073,PushT,0.01,65,0.2199999988079071,22,0.15973857793173502,0.8402614220682649,0.6000000238418579,0.7692307829856873,0.2716444444444444
3073,PushT,0.02,8,0.6899999976158142,69,0.6097635121266138,0.39023648787338616,0.1599999964237213,0.5161290168762207,0.024677777777777778
3073,PushT,0.02,16,0.6600000262260437,66,0.5787847011659328,0.42121529883406716,0.20000000298023224,0.5882353186607361,0.034244444444444445
3073,PushT,0.02,32,0.5799999833106995,58,0.4977581453455874,0.5022418546544126,0.25999999046325684,0.6190476417541504,0.05293333333333333
3073,PushT,0.02,65,0.4699999988079071,47,0.3897804285676282,0.6102195714323718,0.3100000023841858,0.5849056839942932,0.07946666666666666
3073,PushT,0.03,8,0.8899999856948853,89,0.8279141735549224,0.17208582644507764,0.05000000074505806,0.4545454680919647,0.0024999999999999996
3073,PushT,0.03,16,0.8500000238418579,85,0.7820969631120788,0.21790303688792123,0.05999999865889549,0.4000000059604645,0.0038333333333333327
3073,PushT,0.03,32,0.8399999737739563,84,0.7708713799517315,0.2291286200482685,0.07000000029802322,0.4375,0.005277777777777778
3073,PushT,0.03,65,0.8199999928474426,82,0.7486477981314302,0.25135220186856977,0.05999999865889549,0.3333333432674408,0.006
3073,PushT,0.04,8,0.9200000166893005,92,0.8635352304245132,0.1364647695754868,0.029999999329447746,0.375,0.0011999999999999995
3073,PushT,0.04,16,0.9100000262260437,91,0.8515117505459098,0.14848824945409023,0.029999999329447746,0.3333333432674408,0.0013499999999999994
3073,PushT,0.04,32,0.8799999952316284,88,0.8163055403243499,0.18369445967565012,0.03999999910593033,0.3333333432674408,0.0019999999999999996
3073,PushT,0.04,65,0.8700000047683716,87,0.8048062640785283,0.1951937359214717,0.029999999329447746,0.23076923191547394,0.0014999999999999996
3073,PushT,0.05,8,0.949999988079071,95,0.9008389147209472,0.09916108527905276,0.0,0.0,0.0
3073,PushT,0.05,16,0.9200000166893005,92,0.8635352304245132,0.1364647695754868,0.0,0.0,0.0
3073,PushT,0.05,32,0.8899999856948853,89,0.8279141735549224,0.17208582644507764,0.019999999552965164,0.1818181872367859,0.0009999999999999998
3073,PushT,0.05,65,0.8999999761581421,90,0.8396444903889078,0.16035550961109224,0.009999999776482582,0.10000000149011612,0.0004999999999999999
3073,PushT,0.06,8,0.949999988079071,95,0.9008389147209472,0.09916108527905276,0.009999999776482582,0.20000000298023224,0.0002500000000000002
3073,PushT,0.06,16,0.9100000262260437,91,0.8515117505459098,0.14848824945409023,0.019999999552965164,0.2222222238779068,0.0008999999999999998
3073,PushT,0.06,32,0.8799999952316284,88,0.8163055403243499,0.18369445967565012,0.05999999865889549,0.5,0.002999999999999999
3073,PushT,0.06,65,0.8600000143051147,86,0.793406218062001,0.20659378193799904,0.07000000029802322,0.5,0.004277777777777778
3073,PushT,0.07,8,0.9700000286102295,97,0.927289656713096,0.07271034328690396,0.029999999329447746,1.0,0.00045000000000000037
3073,PushT,0.07,16,0.9599999785423279,96,0.9138471026288194,0.08615289737118059,0.029999999329447746,0.75,0.0006000000000000005
3073,PushT,0.07,32,0.9200000166893005,92,0.8635352304245132,0.1364647695754868,0.029999999329447746,0.375,0.0011999999999999995
