task,sigma_max,sigma_eval,n_training_seeds,clean_success_mean,clean_success_sd,stress_success_mean,stress_success_sd,retention_pp_mean,retention_pp_sd,relative_ir_mean,relative_ir_sd,sr_mean,sr_sd,ir_pass_count,joint_pass_count,natural_sr_veto_count
Cube,0.2,0.64,3,56.444433333333336,0.8388727005465234,46.0000111111,2.7284549963228737,-10.444422222233335,3.5642328146040025,0.7125087928349366,0.07503210675217477,0.17999999473492304,0.10148891319893628,0,0,0
Cube,0.3,0.08,3,56.7777777778,0.8388704928233154,56.9999888889,0.8819297026176507,0.22221111109999944,0.19244046793748826,0.013233687997981943,0.0011905210591340281,1.0,0.0,3,3,0
Cube,0.3,0.16,3,56.7777777778,0.8388704928233154,57.2222222222,0.8388704928233154,0.44444444439999603,1.3471506281476202,0.02570468742276123,0.0015800703385687239,1.0,0.0,3,3,0
Cube,0.3,0.32,3,56.7777777778,0.8388704928233154,56.33334444443333,1.4529586674412307,-0.44443333336667007,0.8388727005995099,0.052118514561427555,0.004194133377535615,1.0,0.0,3,3,0
Cube,0.3,0.64,3,56.7777777778,0.8388704928233154,53.8888777778,0.38488093443153154,-2.8888999999999996,1.170610793560354,0.2703807237706271,0.012970988451053406,0.9699999690055847,0.0,3,3,0
Cube,0.4,0.08,3,55.222222222233334,1.5752718754116577,57.11112222223333,0.9622600713078217,1.8888999999999996,1.5752589441704172,0.0108789343301003,0.0004110671724405413,1.0,0.0,3,3,0
Cube,0.4,0.16,3,55.222222222233334,1.5752718754116577,56.66665555556667,1.6666500000277789,1.4444333333333337,0.5091787145328576,0.020787846201443277,0.00117998671272039,1.0,0.0,3,3,0
Cube,0.4,0.32,3,55.222222222233334,1.5752718754116577,56.99998888886666,1.154681293389526,1.7777666666333307,0.5091896252216169,0.04024951718873121,0.003178057077487226,1.0,0.0,3,3,0
Cube,0.4,0.64,3,55.222222222233334,1.5752718754116577,56.7777777778,1.0183501544309939,1.5555555555666676,1.8954135677110073,0.11753770538366037,0.012451034107349027,0.9899999499320984,0.0,3,3,0
Cube,0.5,0.08,3,55.555566666666664,0.19245971298488176,56.77778888886667,0.9622312036211573,1.222222222199998,1.0715167512076123,0.009941092251772388,0.0005521675558507697,1.0,0.0,3,3,0
